group,bytes,pkts,bytes_pct,pkts_pct
TLS/HTTPS,814466532,551051,38.887,30.086
QUIC,691248984,644533,33.004,35.19
TCP (payload),453084499,508687,21.633,27.773
UDP (other),129122096,118631,6.165,6.477
Other,5854164,3935,0.28,0.215
DNS,642200,4726,0.031,0.258
